Image Name,Annotation 1 (Human - Ground Truth),Vit-Gpt2,BLIP(Conditional),BLIP (UNCONDITIONAL),GIT
551,Hand Sculptures on Red Background,a stuffed animal on a white surface,a photography of a pair of hands on a red background,a white hand on a red background,a hand made out of a white glove
552,Modern Metal Sculptures with City skyline in the background,a statue of a person sitting on a bench near a river,a photography of a sculpture in a park,a tree in the foreground of a sculpture,the sculpture by visual artist
553,A Red Dragon Statue,a statue of a man on a skateboard,a photography of a colorfully painted elephant,a colorfully painted elephant on a blue platform,a statue of a dragon
554,Cubism Art Displayed in Park,three photos of a group of people on a path,a photography of a path in the woods,a path with paintings on it,artwork on display at the festival.
555,Sculptures of Hands Reaching Up,a painting of a group of animals on a wall,a photography of hands of people covered in white paint,a large group of hands covered in white paint,a collection of hands from the collection.
556,Abstract Green Textured Art Print,a close up view of some plants in a green field,a photography of green paint,a close-up of a green leaf,abstract texture of a green abstract landscape
557,Colorful face sculpture on textured yellow wall,a painting of a dead animal on a wall,a photography of a face on a wall,a face seen in the wall of a building,a face in the wall
558,"Silver, Futuristic Building Wall",a large metal sculpture of a man sitting on top of a building,a photography of a sculpture of a woman,a close-up of a building with a large sculpture,the facade of the building by Person
559,Multicolored Abstract Painting,a painting of a group of people in a room,a photography of abstract art,a colorful abstract painting,abstract painting of a colorful abstract background
560,A statue of jesus,a statue of a man in a suit on top of a building,a photography of a statue of Jesus,a statue of Jesus,a statue of Builder in the church
561,Picture of Jesus in a round frame on a house,a clock on the wall of a brick building,a photography of a stained glass window on a building,a stained glass window with a picture of Jesus,stained glass window of the chapel
562,Multi Storey Building with Artworks and Giant Hand Sculpture in the middle floor,a living room filled with furniture and a staircase,a photography of a staircase in a house,a staircase with a handrail at the top,the stairs leading to the second floor.
563,White Floral Designs on Black Background,a pile of old rusted paper on top of a wall,a photography of a black and white pattern,a black and white pattern with various shapes,seamless pattern with white doodles on a black background.
564,Floral Patterns on Cloth,a row of colorful and colorful colored umbrellas on a table,a photography of colorful textiles,colorful fabric on display at a market in India,a close-up of the colorful textiles
565,Two White Concrete Statues Covered by Dust,a fire hydrant spewing water onto the ground,a photography of a statue of a man and a woman,a statue of a man with a horse in the dirt,statues of children in the dust
566,Masks on a Stick,a crowd of people standing in front of a fire hydrant,a photography of a black and white photo of masks,a black and white photo of several masks,the art of the metal sculpture
567,White Sculpture of a Man staring at a tree trunk,a white statue of a white man in a black and white photo,a photography of a white statue of a woman,a white statue of a woman next to a wall,a mannequin in a shop window
568,Concrete human sculptures inside a large room with glass roof,a large room with a large clock on the wall,a photography of a room with marble statues,a room with many statues in it,the interior of the museum
569,Person Making Small Clay Sculptures,a woman holding a white object in her hand,a photography of a woman with powder on her hands,a woman holding a piece of cake in her hands,a woman with her hands covered in flour
570,WomanTaking Picture Rainbow Painted Wall,a woman standing in front of a wall holding a kite,a photography of a woman standing in front of a rainbow-colored wall,a woman standing in front of a rainbow-colored wall,a girl looking at a rainbow
571,Mesh Fishtail Net Sculpture Near Body Of Water,a blue and white umbrella sitting on top of a beach,a photography of a sculpture on the beach,a sculpture on the beach with a blue sky,a sculpture of a wind turbine
572,Modern Paint Art on Wall,a sign that is on the side of a building,a photography of a colorful mural on a building,a mural on the side of a building,a colorful mural on a building
573,Colorful Heart Graffiti on Wall,a wall with graffiti painted on it,a photography of a wall with hearts painted on it,a wall with many hearts painted on it,colorful graffiti on a wall
574,Man Drawing on Wall with Spray Bottle,a man is painting a mural on a wall,a photography of a man painting a wall,a man painting a wall with yellow paint,a man sprays graffiti on a wall.
575,Coffee Cup with heart tree desings,a cup of coffee sitting on top of a coffee table,a photography of a coffee cup on a table,a cup of coffee on a black table,a latte at the café.
576,Woman with Face and Body Paint,a woman with a tattoo on her face,a photography of a young girl with face paint,a woman with face paint,a woman with painted face and face paint
577,Multicolored Lamp Decor,a dimly lit room with a lit up wall,a photography of a neon-lit room,a room with a neon light on the wall,a glowing wall with a neon sign
578,Comic style Graffiti on White Concrete Building,a tall building with a sign on it,a photography of a large building with a large mural on it,a large building with graffiti on it,a large building with a mural on it
579,Brown Bunny Painting,a stuffed animal on a wall with graffiti on it,a photography of a cat with blue and yellow paint on its face,a cat with a tooth in its mouth,graffiti of a squirrel on a wall
580,Floral Carved Wood in a Frame,a painting of a person holding a knife on a table,a photography of a painting on an easel,a chair with a painting on it,a close-up of the table
581,Brown Wooden Totem Pole,a statue of a giraffe sitting on top of a tree,a photography of a wooden carving of a man,a wooden sculpture of a man with a beard,a tree stump with a face and a face
582,Woman in Robe Sitting Beside a Wooden Table with Pieces of Sculptures on Top of the Table,a woman sitting on a chair in front of a table,a photography of a woman sitting on a chair,a woman sitting on a chair in a room,a woman sitting in a chair with her head resting on her hand.
583,Broken Sculpture Pieces on a White Sheet with Rose and Rose Petals,a white vase filled with flowers on top of a table,a photography of a flower arrangement and a statue,a white tablecloth,a white statue of a woman sitting on a bed.
584,Worms Eye View of Spiral Stained Glass Decors Through the Roof,a large clock on the side of a building,a photography of a circular stained glass window,a circular stained glass window,stained glass window in the ceiling of the chapel.
585,Pink and Purple Abstract Art,a painting of a bunch of colorful items on a wall,a photography of a colorful abstract background,a painting with a lot of paint on it,a colorful image of a plant
586,Red and Yellow Stop! Sticker,a birthday cake with a train on it,a photography of a sticker of a comic book,a sticker with a comic-style word,digital art selected for the #
587,Clock Chalk Sketch in Black Surface,a black and white photo of a clock on a wall,a photography of a clock on a black background,a clock drawn on a blackboard,a clock with a white chalk drawing on a blackboard.
588,Assorted-color Watercolors,a table topped with lots of different colored cupcakes,a photography of a palette of paint,a tray of paint,how to paint a palette with paint
589,Silhouette of Person Holding Sparkler,a fire hydrant is lit up in the dark,a photography of a person holding a fire,a person spinning fire in a circle,a long exposure of a wine glass with a light
590,Low Angle Photography of High Rise Building,an overhead view of a large group of lights,a photography of a skyscraper building in the snow,a city with skyscrapers and snow falling,a cross in the sky
591,Man in Black Jacket with Black and Gold Face Paint,a person with a mask on,a photography of a man with a black face and gold paint on his face,a man with his face covered in gold and black paint,digital art selected for the #
592,Decorative Balloons hanging from a ceiling,a large group of colorful umbrellas hanging from a ceiling,a photography of balloons floating in the air,a bunch of balloons,a ceiling of glass and gold.
593,Human Eye emerging out from a plane surface,a blurry picture of a cat on a wall,a photography of a person's eye through a hole in a wooden wall,a person's eye seen through a hole in a wall,a man's eye through a hole in a sheet of paper.
594,Man Wearing Multicolored Floral Blazer Posing in the Corner of a Colorful Concrete Wall,a man sitting on a wall with a skateboard,a photography of a man in a colorful suit,a man in a colorful suit standing on a wall,digital art selected for the #
595,Black Metal Framed Pendant Style Lamp,a white object in the shape of a clock in a room,a photography of a ceiling light,a black and white photo of a light fixture,a lamp in black and white
596,Woman With Purple Face Paint with Purple Smoke,a woman in a pink dress is blowing out her face,a photography of a woman with purple smoke,a woman with purple smoke on her face,digital art selected for the #
597,Flower Petals Surrounded by Lighted Candles on a Wooden Surface,a colorful flower arrangement on a wooden table,a photography of a flower arrangement on a wooden table,a wooden table with a candle and flowers,a flower arrangement made of candles
598,"Red, Blue and Green Paper Boats on Solid Surface",an assortment of colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful,a photography of origami paper boats,a group of paper boats on a table,a pair of small boats with a small sail.
599,Aerial Photo of Black Spiral Staircase,a black and white photo of a stair case,a photography of a spiral staircase,a spiral staircase with a glass window,a spiral staircase in black and white
600,Paper Crane hanging on a string,a fighter jet flying through a cloudy sky,a photography of a paper crane hanging from a string,a black origami bird hanging from,a paper airplane sculpture made fr
